0,null,null,597,758,2402,856,908,2087,1059,1163,1757,1730,1803,1730,1580,1789,1627,1724,null,null,null,null,null,null,null,null,2495,758,1329,2016,1965
null,0,null,496,657,2301,755,807,1986,958,1062,1656,1629,1702,1629,1479,1688,1526,1623,null,null,null,null,null,null,null,null,2394,657,1228,1915,1864
null,null,0,437,598,2242,696,748,1927,899,1003,1597,1570,1643,1570,1420,1629,1467,1564,null,null,null,null,null,null,null,null,2335,598,1169,1856,1805
597,496,437,0,null,null,null,null,null,null,null,1308,null,null,1276,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1554,1516
758,657,598,null,0,null,null,null,null,null,null,1143,null,null,1111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1389,1351
2402,2301,2242,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1633,1632
856,755,696,null,null,null,0,null,null,null,null,1039,null,null,1007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1285,1247
908,807,748,null,null,null,null,0,null,null,null,1029,null,null,997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1275,1237
2087,1986,1927,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1318,1317
1059,958,899,null,null,null,null,null,null,0,null,848,null,null,816,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1094,1056
1163,1062,1003,null,null,null,null,null,null,null,0,744,null,null,712,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,990,952
1757,1656,1597,1308,1143,null,1039,1029,null,848,744,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1143,null,619,688
1730,1629,1570,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,579,578
1803,1702,1643,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,652,651
1730,1629,1570,1276,1111,null,1007,997,null,816,712,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,1111,null,491,461
1580,1479,1420,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,661,660
1789,1688,1629,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,638,637
1627,1526,1467,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,592,591
1724,1623,1564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,689,688
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,539,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,547,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,598,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,552,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,579,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,539,547,598,552,579,0,null,null,null,null,null
2495,2394,2335,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,1726,1725
758,657,598,null,null,null,null,null,null,null,null,1143,null,null,1111,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,1389,1351
1329,1228,1169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,880,879
2016,1915,1856,1554,1389,1633,1285,1275,1318,1094,990,619,579,652,491,661,638,592,689,null,null,null,null,null,null,null,null,1726,1389,880,0,429
1965,1864,1805,1516,1351,1632,1247,1237,1317,1056,952,688,578,651,461,660,637,591,688,null,null,null,null,null,null,null,null,1725,1351,879,429,0
