0,283,178,510,671,2315,769,821,2000,972,1076,1680,1643,1716,1648,1493,1702,1540,1637,null,null,null,null,null,null,null,null,2408,671,1242,1939,1888
283,0,123,409,570,2214,668,720,1899,871,975,1579,1542,1615,1547,1392,1601,1439,1536,null,null,null,null,null,null,null,null,2307,570,1141,1838,1787
178,123,0,350,511,2155,609,661,1840,812,916,1520,1483,1556,1488,1333,1542,1380,1477,null,null,null,null,null,null,null,null,2248,511,1082,1779,1728
510,409,350,0,193,1837,291,343,1522,494,598,1202,1165,1238,1170,1015,1224,1062,1159,null,null,null,null,null,null,null,null,1930,193,764,1461,1410
671,570,511,193,0,1672,126,178,1357,329,433,1037,1000,1073,1005,850,1059,897,994,null,null,null,null,null,null,null,null,1765,0,599,1296,1245
2315,2214,2155,1837,1672,0,1568,1558,339,1377,1273,1281,1244,1317,1249,1094,1303,1141,1238,null,null,null,null,null,null,null,null,171,1672,1163,1540,1489
769,668,609,291,126,1568,0,74,1253,225,329,933,896,969,901,746,955,793,890,null,null,null,null,null,null,null,null,1661,126,495,1192,1141
821,720,661,343,178,1558,74,0,1243,215,319,923,886,959,891,736,945,783,880,null,null,null,null,null,null,null,null,1651,178,485,1182,1131
2000,1899,1840,1522,1357,339,1253,1243,0,1062,958,966,929,1002,934,779,988,826,923,null,null,null,null,null,null,null,null,432,1357,848,1225,1174
972,871,812,494,329,1377,225,215,1062,0,138,742,705,778,710,555,764,602,699,null,null,null,null,null,null,null,null,1470,329,304,1001,950
1076,975,916,598,433,1273,329,319,958,138,0,638,601,674,606,451,660,498,595,null,null,null,null,null,null,null,null,1366,433,200,897,846
1680,1579,1520,1202,1037,1281,933,923,966,742,638,0,227,300,110,309,286,240,337,null,null,null,null,null,null,null,null,1374,1037,528,295,244
1643,1542,1483,1165,1000,1244,896,886,929,705,601,227,0,105,195,272,91,203,300,null,null,null,null,null,null,null,null,1337,1000,491,486,435
1716,1615,1556,1238,1073,1317,969,959,1002,778,674,300,105,0,268,345,62,276,373,null,null,null,null,null,null,null,null,1410,1073,564,559,508
1648,1547,1488,1170,1005,1249,901,891,934,710,606,110,195,268,0,277,254,208,305,null,null,null,null,null,null,null,null,1342,1005,496,369,318
1493,1392,1333,1015,850,1094,746,736,779,555,451,309,272,345,277,0,331,169,266,null,null,null,null,null,null,null,null,1187,850,341,568,517
1702,1601,1542,1224,1059,1303,955,945,988,764,660,286,91,62,254,331,0,262,359,null,null,null,null,null,null,null,null,1396,1059,550,545,494
1540,1439,1380,1062,897,1141,793,783,826,602,498,240,203,276,208,169,262,0,131,null,null,null,null,null,null,null,null,1234,897,388,499,448
1637,1536,1477,1159,994,1238,890,880,923,699,595,337,300,373,305,266,359,131,0,null,null,null,null,null,null,null,null,1331,994,485,596,545
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,48,231,239,290,244,271,491,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48,0,207,215,266,220,247,467,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,231,207,0,48,99,13,80,536,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,239,215,48,0,107,61,88,544,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,290,266,99,107,0,112,73,595,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,244,220,13,61,112,0,93,549,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,271,247,80,88,73,93,0,576,null,null,null,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,491,467,536,544,595,549,576,0,null,null,null,null,null
2408,2307,2248,1930,1765,171,1661,1651,432,1470,1366,1374,1337,1410,1342,1187,1396,1234,1331,null,null,null,null,null,null,null,null,0,1765,1256,1633,1582
671,570,511,193,0,1672,126,178,1357,329,433,1037,1000,1073,1005,850,1059,897,994,null,null,null,null,null,null,null,null,1765,0,599,1296,1245
1242,1141,1082,764,599,1163,495,485,848,304,200,528,491,564,496,341,550,388,485,null,null,null,null,null,null,null,null,1256,599,0,787,736
1939,1838,1779,1461,1296,1540,1192,1182,1225,1001,897,295,486,559,369,568,545,499,596,null,null,null,null,null,null,null,null,1633,1296,787,0,198
1888,1787,1728,1410,1245,1489,1141,1131,1174,950,846,244,435,508,318,517,494,448,545,null,null,null,null,null,null,null,null,1582,1245,736,198,0
